"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 06- 05","488.74","490.75","491.00","485.60","5.17M","-0.46%"
"2025- 06- 04","491.00","496.94","496.99","490.88","5.30M","-1.37%"
"2025- 06- 03","497.83","501.00","502.79","493.51","5.92M","-0.99%"
"2025- 06- 02","502.81","501.70","503.23","499.47","4.91M","-0.23%"
"2025- 05- 30","503.96","505.18","505.72","500.18","9.15M","-0.44%"
"2025- 05- 29","506.18","504.00","506.55","501.20","3.66M","0.61%"
"2025- 05- 28","503.11","508.39","509.10","502.83","3.61M","-1.19%"
"2025- 05- 27","509.16","506.42","509.75","505.01","4.93M","1.13%"
"2025- 05- 23","503.46","501.01","505.50","500.25","3.17M","-0.02%"
"2025- 05- 22","503.57","505.10","507.40","502.64","3.24M","-0.68%"
"2025- 05- 21","507.03","507.41","510.00","505.40","3.82M","-0.34%"
"2025- 05- 20","508.74","511.11","512.08","506.55","3.74M","-0.71%"
"2025- 05- 19","512.39","513.61","513.79","510.10","3.44M","-0.37%"
"2025- 05- 16","514.31","509.63","514.33","506.80","5.00M","1.38%"
"2025- 05- 15","507.33","502.38","509.78","501.62","5.04M","0.78%"
"2025- 05- 14","503.40","511.85","511.85","502.80","6.38M","-1.66%"
"2025- 05- 13","511.88","515.64","515.75","511.80","4.50M","-0.47%"
"2025- 05- 12","514.30","520.30","520.30","510.25","6.37M","0.11%"
"2025- 05- 09","513.74","514.25","515.91","510.25","3.62M","0.10%"
"2025- 05- 08","513.25","520.98","521.26","513.04","5.02M","-0.96%"
"2025- 05- 07","518.22","515.02","520.25","513.00","5.58M","1.15%"
"2025- 05- 06","512.33","509.57","515.75","507.99","6.09M","0.04%"
"2025- 05- 05","512.15","520.08","521.18","502.80","16.38M","-5.12%"
"2025- 05- 02","539.80","536.75","542.07","535.26","4.95M","1.80%"
"2025- 05- 01","530.23","531.00","533.27","528.30","4.69M","-0.57%"
"2025- 04- 30","533.25","531.51","535.72","524.00","5.25M","-0.25%"
"2025- 04- 29","534.57","531.00","535.34","528.29","3.18M","0.68%"
"2025- 04- 28","530.94","533.63","536.82","526.58","4.24M","0.00%"
"2025- 04- 25","530.96","531.75","532.44","526.79","2.74M","-0.13%"
"2025- 04- 24","531.64","526.81","533.13","523.16","3.17M","0.92%"
"2025- 04- 23","526.81","527.50","532.27","523.89","4.29M","1.16%"
"2025- 04- 22","520.79","514.23","522.22","511.65","4.77M","2.74%"
"2025- 04- 21","506.92","517.53","518.67","498.08","4.91M","-2.18%"
"2025- 04- 17","518.21","518.90","523.88","514.57","5.32M","0.34%"
"2025- 04- 16","516.45","529.30","530.13","512.89","5.89M","-2.22%"
"2025- 04- 15","528.17","532.62","535.92","527.36","4.33M","-0.25%"
"2025- 04- 14","529.52","531.00","536.52","526.98","5.51M","1.03%"
"2025- 04- 11","524.11","515.00","526.58","510.77","6.23M","1.61%"
"2025- 04- 10","515.81","518.30","521.41","498.61","7.48M","-1.07%"
"2025- 04- 09","521.41","490.00","523.93","485.56","10.15M","5.84%"
"2025- 04- 08","492.64","509.02","516.00","484.19","9.47M","0.46%"
"2025- 04- 07","490.38","467.42","505.85","462.10","12.75M","-0.64%"
"2025- 04- 04","493.54","519.00","521.00","492.98","12.61M","-6.91%"
"2025- 04- 03","530.16","527.62","538.80","525.14","6.41M","-1.41%"
"2025- 04- 02","537.72","532.13","539.00","530.82","4.08M","0.89%"
"2025- 04- 01","532.99","531.88","536.41","527.50","4.13M","0.08%"
"2025- 03- 31","532.58","521.40","536.52","519.00","7.14M","1.19%"
"2025- 03- 28","526.31","535.35","536.00","524.68","5.32M","-1.54%"
"2025- 03- 27","534.52","533.25","537.38","529.35","5.15M","0.25%"
"2025- 03- 26","533.21","531.00","537.63","530.98","5.01M","0.82%"
"2025- 03- 25","528.87","527.18","533.29","525.88","3.96M","0.57%"
"2025- 03- 24","525.85","523.10","527.30","521.48","4.86M","0.75%"
"2025- 03- 21","521.91","528.31","528.96","520.73","8.55M","-1.29%"
"2025- 03- 20","528.73","524.00","530.61","522.67","4.07M","0.66%"
"2025- 03- 19","525.27","525.69","526.71","520.66","3.80M","0.41%"
"2025- 03- 18","523.14","525.45","528.38","521.42","4.86M","0.02%"
"2025- 03- 17","523.01","514.62","524.71","513.21","5.34M","1.63%"
"2025- 03- 14","514.60","506.95","515.84","502.92","5.78M","2.05%"
"2025- 03- 13","504.25","496.46","507.40","494.75","5.10M","1.68%"
"2025- 03- 12","495.94","497.60","498.32","488.75","3.87M","-0.06%"
"2025- 03- 11","496.25","496.00","499.15","491.31","5.36M","-0.17%"
"2025- 03- 10","497.10","490.00","500.45","490.00","6.26M","0.30%"
"2025- 03- 07","495.62","496.29","498.27","490.11","3.84M","-0.45%"
"2025- 03- 06","497.84","496.83","499.10","491.63","3.99M","-0.13%"
"2025- 03- 05","498.50","496.00","500.93","492.32","4.72M","0.53%"
"2025- 03- 04","495.86","507.27","508.73","493.61","6.13M","-2.79%"
"2025- 03- 03","510.08","516.22","518.77","506.48","5.11M","-0.73%"
"2025- 02- 28","513.83","507.46","515.37","504.33","6.85M","2.27%"
