"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 07- 01","175.84","175.74","176.09","173.53","35.90M","-0.22%"
"2025- 06- 30","176.23","180.78","181.23","174.58","63.38M","-1.29%"
"2025- 06- 27","178.53","173.54","178.68","171.73","108.14M","2.88%"
"2025- 06- 26","173.54","172.43","173.69","169.94","31.80M","1.68%"
"2025- 06- 25","170.68","167.63","172.36","167.55","35.48M","2.34%"
"2025- 06- 24","166.77","166.92","168.22","166.13","40.52M","0.96%"
"2025- 06- 23","165.19","166.27","167.34","162.00","57.67M","-0.87%"
"2025- 06- 20","166.64","173.95","174.34","165.46","75.66M","-3.85%"
"2025- 06- 18","173.32","176.01","176.56","173.20","28.71M","-1.49%"
"2025- 06- 17","175.95","175.70","177.36","174.58","24.97M","-0.46%"
"2025- 06- 16","176.77","174.73","176.94","174.65","27.39M","1.20%"
"2025- 06- 13","174.67","172.44","177.13","172.38","27.66M","-0.59%"
"2025- 06- 12","175.70","176.18","176.72","174.74","20.94M","-0.93%"
"2025- 06- 11","177.35","179.77","180.37","176.75","31.65M","-0.70%"
"2025- 06- 10","178.60","176.20","181.10","174.91","61.77M","1.43%"
"2025- 06- 09","176.09","174.54","176.47","174.37","28.94M","1.39%"
"2025- 06- 06","173.68","170.83","174.50","170.83","35.73M","3.25%"
"2025- 06- 05","168.21","170.34","170.93","167.59","36.44M","0.10%"
"2025- 06- 04","168.05","166.74","168.21","166.36","26.90M","1.13%"
"2025- 06- 03","166.18","167.49","168.48","165.28","45.08M","-1.69%"
"2025- 06- 02","169.03","167.84","169.87","167.39","38.61M","-1.58%"
"2025- 05- 30","171.74","171.35","172.21","167.44","52.64M","-0.07%"
"2025- 05- 29","171.86","174.00","174.42","170.63","29.37M","-0.29%"
"2025- 05- 28","172.36","173.16","175.26","171.91","34.78M","-0.31%"
"2025- 05- 27","172.90","170.16","173.17","170.00","38.00M","2.63%"
"2025- 05- 23","168.47","169.05","169.96","167.89","35.21M","-1.40%"
"2025- 05- 22","170.87","171.85","176.77","170.71","74.86M","1.37%"
