"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 05- 08","598.01","606.28","611.30","596.62","14.62M","0.20%"
"2025- 05- 07","596.81","590.36","603.08","586.67","13.16M","1.62%"
"2025- 05- 06","587.31","592.53","596.03","586.58","10.60M","-2.00%"
"2025- 05- 05","599.27","591.22","603.21","588.05","13.89M","0.38%"
"2025- 05- 02","597.02","583.46","604.34","578.33","24.74M","4.34%"
"2025- 05- 01","572.21","592.08","592.95","570.50","31.16M","4.23%"
"2025- 04- 30","549.00","538.40","549.10","529.50","29.24M","-0.98%"
"2025- 04- 29","554.44","546.00","556.57","544.12","11.84M","0.85%"
"2025- 04- 28","549.74","555.64","558.49","540.59","15.18M","0.45%"
"2025- 04- 25","547.27","546.80","549.86","536.25","17.10M","2.65%"
"2025- 04- 24","533.15","518.73","533.90","517.50","13.91M","2.48%"
"2025- 04- 23","520.27","528.53","535.34","516.52","18.17M","4.00%"
