"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 05- 22","230.53","228.34","233.69","227.43","14.34M","0.35%"
"2025- 05- 21","229.73","228.39","236.50","227.83","17.64M","-0.84%"
"2025- 05- 20","231.68","226.49","231.77","226.34","11.79M","0.46%"
"2025- 05- 19","230.63","221.85","231.25","221.60","15.36M","0.88%"
"2025- 05- 16","228.61","232.32","232.64","226.39","23.09M","-1.73%"
"2025- 05- 15","232.64","230.16","234.46","228.07","18.80M","0.22%"
"2025- 05- 14","232.12","230.23","233.50","228.35","19.75M","-0.13%"
"2025- 05- 13","232.42","222.00","235.28","222.00","28.79M","4.89%"
"2025- 05- 12","221.58","219.49","221.80","215.88","25.44M","6.43%"
"2025- 05- 09","208.20","209.33","209.96","206.52","13.29M","0.21%"
"2025- 05- 08","207.77","208.00","211.16","203.69","18.46M","1.45%"
"2025- 05- 07","204.81","199.29","206.23","198.43","20.28M","2.36%"
"2025- 05- 06","200.09","196.44","201.91","195.94","16.35M","-0.31%"
"2025- 05- 05","200.72","200.25","203.23","200.00","14.03M","-1.43%"
"2025- 05- 02","203.64","203.90","205.68","201.08","17.77M","3.20%"
"2025- 05- 01","197.33","198.14","201.40","196.24","24.94M","2.53%"
"2025- 04- 30","192.47","185.90","193.20","184.02","22.77M","0.68%"
"2025- 04- 29","191.17","191.72","193.25","190.10","14.63M","-0.68%"
"2025- 04- 28","192.47","190.53","193.10","187.68","16.39M","0.08%"
"2025- 04- 25","192.31","186.92","193.37","186.89","21.24M","2.21%"
"2025- 04- 24","188.15","179.69","188.57","178.29","27.58M","6.35%"
"2025- 04- 23","176.91","177.78","180.45","175.82","24.38M","4.32%"
"2025- 04- 22","169.58","167.43","170.52","165.22","18.50M","2.03%"
"2025- 04- 21","166.21","166.99","168.00","161.61","23.47M","-2.80%"
"2025- 04- 17","170.99","176.25","176.25","169.92","22.50M","-2.07%"
"2025- 04- 16","174.61","170.43","176.08","166.92","34.64M","-2.43%"
"2025- 04- 15","178.95","179.73","182.26","178.08","17.24M","0.33%"
"2025- 04- 14","178.36","185.07","186.00","175.82","25.75M","-1.97%"
"2025- 04- 11","181.94","173.62","182.66","173.31","33.96M","5.59%"
"2025- 04- 10","172.30","175.30","176.95","166.40","51.21M","-6.94%"
"2025- 04- 09","185.15","160.50","187.33","157.51","72.71M","18.66%"
"2025- 04- 08","156.03","167.62","169.78","153.09","58.89M","1.23%"
"2025- 04- 07","154.14","144.49","160.43","138.10","68.50M","5.37%"
"2025- 04- 04","146.29","148.17","152.80","139.17","72.30M","-5.01%"
"2025- 04- 03","154.01","160.54","163.43","153.70","44.35M","-10.51%"
"2025- 04- 02","172.09","166.08","173.43","165.50","19.52M","2.12%"
"2025- 04- 01","168.52","166.37","168.71","163.42","20.47M","0.65%"
"2025- 03- 31","167.43","164.49","167.94","160.62","35.66M","-1.00%"
"2025- 03- 28","169.12","171.93","173.30","166.47","30.39M","-1.67%"
"2025- 03- 27","171.99","177.65","178.38","170.46","32.15M","-4.06%"
"2025- 03- 26","179.27","186.66","188.06","177.58","30.67M","-4.78%"
"2025- 03- 25","188.26","190.88","191.60","187.68","23.42M","-1.56%"
"2025- 03- 24","191.25","194.29","196.69","190.67","33.18M","-0.21%"
"2025- 03- 21","191.66","188.21","192.07","187.37","43.09M","0.59%"
"2025- 03- 20","190.54","191.52","193.84","188.94","31.43M","-2.57%"
