"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 06- 09","216.98","214.75","217.85","212.88","38.10M","1.60%"
"2025- 06- 06","213.57","212.40","213.87","210.50","39.83M","2.72%"
"2025- 06- 05","207.91","209.55","212.81","207.56","51.98M","0.33%"
"2025- 06- 04","207.23","206.55","208.18","205.18","29.92M","0.74%"
"2025- 06- 03","205.71","207.10","208.95","205.03","33.14M","-0.45%"
"2025- 06- 02","206.65","204.98","207.00","202.68","29.11M","0.80%"
"2025- 05- 30","205.01","204.84","205.99","201.70","51.68M","-0.34%"
"2025- 05- 29","205.70","208.02","208.81","204.23","34.70M","0.48%"
"2025- 05- 28","204.72","205.91","207.66","204.41","28.55M","-0.63%"
"2025- 05- 27","206.02","203.09","206.69","202.19","34.89M","2.50%"
"2025- 05- 23","200.99","198.90","202.37","197.85","33.39M","-1.04%"
"2025- 05- 22","203.10","201.38","205.76","200.16","38.94M","0.98%"
"2025- 05- 21","201.12","201.61","203.46","200.06","42.46M","-1.45%"
"2025- 05- 20","204.07","204.63","205.59","202.65","29.47M","-1.01%"
"2025- 05- 19","206.16","201.65","206.62","201.26","34.31M","0.28%"
